categoria;codigo;ruta_esperada;tiene_foto
Creatinas;00335;sources/productos/CREATINAS/00335__CREATINA_MONOHYDRATE_MELON_GUM_300G_PROTELLA.webp;no
Creatinas;00295;sources/productos/CREATINAS/00295__CREATINA_MICRONIZED_NATURAL_500G_AMRO.jpg;si
Creatinas;00345;sources/productos/CREATINAS/00345__CREATINA_MONOHYDRATE_300G_PROTELLA.webp;no
Alimentación proteica;00337;sources/productos/ALIMENTACION_PROTEICA/00337__CREMA_DE_ARROZ_COOKIE_DOUGH_500G_PROTELLA.webp;no
Alimentación proteica;00336;sources/productos/ALIMENTACION_PROTEICA/00336__CREMA_DE_ARROZ_SPECULOOS_500G_PROTELLA.webp;no
Alimentación proteica;00339;sources/productos/ALIMENTACION_PROTEICA/00339__CREMA_DE_ARROZ_CHOCOLATTE_500G_PROTELLA.webp;si
Alimentación proteica;00338;sources/productos/ALIMENTACION_PROTEICA/00338__CREMA_DE_ARROZ_PEANUT_500G_PROTELLA.webp;no
Vitaminas y salud;00321;sources/productos/VITAMINAS_Y_SALUD/00321__DAILY_ONE_60CAPS_AMRO.jpg;si
Vitaminas y salud;00323;sources/productos/VITAMINAS_Y_SALUD/00323__DIUREX_XT_120_CAPS_AMRO.jpg;si
Pre-entrenos;00294;sources/productos/PRE_ENTRENOS/00294__F_22_RAPTOR_PRE_ENTRENO_PINA_MANGO_400G_AMRO.jpg;si
Alimentación proteica;00343;sources/productos/ALIMENTACION_PROTEICA/00343__HARINA_DE_AVENA_BLACK_COOKIES_1000G_AMRO.jpg;si
Alimentación proteica;00342;sources/productos/ALIMENTACION_PROTEICA/00342__HARINA_DE_AVENA_BROWNIE_1000G_AMRO.jpg;si
Alimentación proteica;00344;sources/productos/ALIMENTACION_PROTEICA/00344__HARINA_DE_AVENA_CHOCOLATE_BLANCO_1000G_AMRO.jpg;si
Proteínas;00293;sources/productos/PROTEINAS/00293__M_A_P_KOJAK_500G_AMRO.jpg;si
Vitaminas y salud;00322;sources/productos/VITAMINAS_Y_SALUD/00322__MAGNESIUM_VITAMINA_B6_100_CAPS_AMRO.jpg;si
Alimentación proteica;00298;sources/productos/ALIMENTACION_PROTEICA/00298__MERMELADA_MELOCOTON_PROTELLA_170G.webp;no
Alimentación proteica;00299;sources/productos/ALIMENTACION_PROTEICA/00299__MERMELADA_STRAWBERRY_PROTELLA_170G.webp;no
Vitaminas y salud;00362;sources/productos/VITAMINAS_Y_SALUD/00362__NABE_ALOE_VERA_SUNNY_MANGO.webp;si
Proteínas;00290;sources/productos/PROTEINAS/00290__PROTEINA_ISOLATE_STRAWBERRY_1KG_AMRO.jpg;si
Proteínas;00297;sources/productos/PROTEINAS/00297__PROTEINA_WHEY_CHOCOLATE_1KG_AMRO.jpg;si
Proteínas;00318;sources/productos/PROTEINAS/00318__PROTEINA_WHEY_100_CHOCOLATE_2000G_AMRO.jpg;si
Proteínas;00316;sources/productos/PROTEINAS/00316__PROTEINA_WHEY_100_STRAWBERRY_2000G_AMRO.jpg;si
Proteínas;00317;sources/productos/PROTEINAS/00317__PROTEINA_WHEY_100_VAINILLA_2000G_AMRO.jpg;si
Proteínas;00296;sources/productos/PROTEINAS/00296__PROTEINA_WHEY_VAINILLA_1KG_AMRO.jpg;si
Vitaminas y salud;00324;sources/productos/VITAMINAS_Y_SALUD/00324__VOLCANO_THERMOGENIC_90_CAPS_AMRO.jpg;si
Creatinas;AMRO-CREAPURE-500;sources/productos/CREATINAS/AMRO-CREAPURE-500__CREATINA_CREAPURE_NEUTRO_500G_AMRO.jpg;si
Vitaminas y salud;AMRO-LCARN2000-90;sources/productos/VITAMINAS_Y_SALUD/AMRO-LCARN2000-90__L_CARNITINE_2000_CARNIPURE_90_CAPS_AMRO.jpg;si
Vitaminas y salud;AMRO-LCARN3000-500;sources/productos/VITAMINAS_Y_SALUD/AMRO-LCARN3000-500__L_CARNITINE_3000_LIMON_500ML_AMRO.jpg;si
Vitaminas y salud;AMRO-LCARN3000-20;sources/productos/VITAMINAS_Y_SALUD/AMRO-LCARN3000-20__L_CARNITINE_3000_LIMON_20_X_25ML_AMRO.jpg;si
Vitaminas y salud;AMRO-ANABOL-90;sources/productos/VITAMINAS_Y_SALUD/AMRO-ANABOL-90__ANABOL_PRO_90_CAPS_AMRO.jpg;si
Vitaminas y salud;AMRO-OMEGA3-90;sources/productos/VITAMINAS_Y_SALUD/AMRO-OMEGA3-90__SUPER_OMEGA_3_35_25_90_PERLAS_AMRO.jpg;si
Vitaminas y salud;AMRO-VITC1000-100;sources/productos/VITAMINAS_Y_SALUD/AMRO-VITC1000-100__VITAMIN_C_1000_100_CAPS_AMRO.jpg;si
Vitaminas y salud;AMRO-NAC-120;sources/productos/VITAMINAS_Y_SALUD/AMRO-NAC-120__NAC_120_CAPS_AMRO.jpg;si
Colágeno y bienestar;AMRO-COLAGENO-400;sources/productos/COLAGENO_Y_BIENESTAR/AMRO-COLAGENO-400__COLAGENO_LIMON_400G_AMRO.jpg;si
Alimentación proteica;00100;sources/productos/ALIMENTACION_PROTEICA/00100__TARTA_DE_QUESO.webp;si
Creatinas;000541;sources/productos/CREATINAS/000541__CREATINA_MONOHIDRATADA_300G.webp;si
